chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U10,1,The city lies to the north of Tokyo.,その都市は東京の北方にある。,,/images/eijukugo_zukan/U10/Q01.png,/audio/eijukugo_zukan/U10/S01.mp3,to,to,The city lies [BLANK] the north of Tokyo.
U10,2,He goes to work by car.,彼は車で会社に行く。,,/images/eijukugo_zukan/U10/Q02.png,/audio/eijukugo_zukan/U10/S02.mp3,to,to,He goes [BLANK] work by car.
U10,3,He grew up to be a doctor.,彼は成長して医者になった。,,/images/eijukugo_zukan/U10/Q03.png,/audio/eijukugo_zukan/U10/S03.mp3,to,to,He grew up [BLANK] be a doctor.
U10,4,"The Giants defeated the Dragons, 10 to 1.",ジャイアンツはドラゴンズに10対1で勝った。,,/images/eijukugo_zukan/U10/Q04.png,/audio/eijukugo_zukan/U10/S04.mp3,to,to,"The Giants defeated the Dragons, 10 [BLANK] 1."
U10,5,Listen to me.,私の言うことに耳を傾けなさい。,,/images/eijukugo_zukan/U10/Q05.png,/audio/eijukugo_zukan/U10/S05.mp3,to,to,Listen [BLANK] me.
U10,6,All roads lead to Rome.,全ての道はローマに通じる。,,/images/eijukugo_zukan/U10/Q06.png,/audio/eijukugo_zukan/U10/S06.mp3,to,to,All roads lead [BLANK] Rome.
U10,7,His debts amounted to one million dollars.,彼の借金は百万ドルに達した。,,/images/eijukugo_zukan/U10/Q07.png,/audio/eijukugo_zukan/U10/S07.mp3,to,to,His debts amounted [BLANK] one million dollars.
U10,8,I agree to your proposal.,あなたの提案に賛成です。,,/images/eijukugo_zukan/U10/Q08.png,/audio/eijukugo_zukan/U10/S08.mp3,to,to,I agree [BLANK] your proposal.
U10,9,I belong to the tennis club.,私はテニスクラブに所属している。,,/images/eijukugo_zukan/U10/Q09.png,/audio/eijukugo_zukan/U10/S09.mp3,to,to,I belong [BLANK] the tennis club.
U10,10,Stick to your decision.,自分で決めたことを最後まで貫きなさい。,,/images/eijukugo_zukan/U10/Q10.png,/audio/eijukugo_zukan/U10/S10.mp3,to,to,Stick [BLANK] your decision.
U10,11,They objected to the construction of a new airport.,彼らは新空港の建設に反対した。,,/images/eijukugo_zukan/U10/Q11.png,/audio/eijukugo_zukan/U10/S11.mp3,to,to,They objected [BLANK] the construction of a new airport.
U10,12,I prefer baseball to soccer.,私はサッカーより野球が好きだ。,,/images/eijukugo_zukan/U10/Q12.png,/audio/eijukugo_zukan/U10/S12.mp3,to,to,I prefer baseball [BLANK] soccer.
