qno	image_file	source_folder	source_panel
Q01.png	/images/eijukugo_zukan/U18/Q01.png	01_a_2026-03-27_01-40-00	panel_01.png
Q02.png	/images/eijukugo_zukan/U18/Q02.png	01_a_2026-03-27_01-40-00	panel_02.png
Q03.png	/images/eijukugo_zukan/U18/Q03.png	01_a_2026-03-27_01-40-00	panel_03.png
Q04.png	/images/eijukugo_zukan/U18/Q04.png	01_a_2026-03-27_01-40-00	panel_04.png
Q05.png	/images/eijukugo_zukan/U18/Q05.png	02_b_2026-03-27_01-40-02	panel_01.png
Q06.png	/images/eijukugo_zukan/U18/Q06.png	02_b_2026-03-27_01-40-02	panel_02.png
Q07.png	/images/eijukugo_zukan/U18/Q07.png	02_b_2026-03-27_01-40-02	panel_03.png
Q08.png	/images/eijukugo_zukan/U18/Q08.png	02_b_2026-03-27_01-40-02	panel_04.png
Q09.png	/images/eijukugo_zukan/U18/Q09.png	02_b_2026-03-27_01-40-02	panel_05.png
Q10.png	/images/eijukugo_zukan/U18/Q10.png	02_b_2026-03-27_01-40-02	panel_06.png
Q11.png	/images/eijukugo_zukan/U18/Q11.png	02_b_2026-03-27_01-40-02	panel_07.png
Q12.png	/images/eijukugo_zukan/U18/Q12.png	02_b_2026-03-27_01-40-02	panel_08.png
