chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U01,1,The hotel is five hundred meters away from the sea.,そのホテルは海から500メートル離れた所にある。,/ðə hoʊˈtɛl ɪz faɪv ˈhʌndrəd ˈmiːtərz əˈweɪ frəm ðə siː/,/images/eijukugo_zukan/U01/Q01.png,/audio/eijukugo_zukan/U01/S01.mp3,away,away,The hotel is five hundred meters [BLANK] from the sea.
U01,2,I'll be away for a week.,1週間留守にします。,/aɪl bi əˈweɪ fɔr ə wiːk/,/images/eijukugo_zukan/U01/Q02.png,/audio/eijukugo_zukan/U01/S02.mp3,away,away,I'll be [BLANK] for a week.
U01,3,The bird swam away when I got near.,私が近づくと鳥は泳いで去った。,/ðə bɝd swæm əˈweɪ wɛn aɪ ɡɑt nɪr/,/images/eijukugo_zukan/U01/Q03.png,/audio/eijukugo_zukan/U01/S03.mp3,swam away,swam away|swim away,The bird [BLANK] when I got near.
U01,4,He was crying away in his room.,彼は部屋で泣き続けていた。,/hi wəz ˈkraɪɪŋ əˈweɪ ɪn hɪz ruːm/,/images/eijukugo_zukan/U01/Q04.png,/audio/eijukugo_zukan/U01/S04.mp3,crying away,crying away|cry away,He was [BLANK] in his room.
U01,5,We'll go away for the weekend.,週末には出かけるつもりです。,/wil ɡoʊ əˈweɪ fɔr ðə ˈwiːkˌɛnd/,/images/eijukugo_zukan/U01/Q05.png,/audio/eijukugo_zukan/U01/S05.mp3,go away,go away,We'll [BLANK] for the weekend.
U01,6,I heard a car drive away.,車が立ち去る音が聞こえた。,/aɪ hɝd ə kɑr draɪv əˈweɪ/,/images/eijukugo_zukan/U01/Q06.png,/audio/eijukugo_zukan/U01/S06.mp3,drive away,drive away,I heard a car [BLANK].
U01,7,He laughed away his worries.,彼は心配事を笑い飛ばした。,/hi læft əˈweɪ hɪz ˈwɝiz/,/images/eijukugo_zukan/U01/Q07.png,/audio/eijukugo_zukan/U01/S07.mp3,laughed away,laughed away|laugh away,He [BLANK] his worries.
U01,8,The snowman melted away.,雪だるまが溶けてなくなった。,/ðə ˈsnoʊˌmæn ˈmɛltɪd əˈweɪ/,/images/eijukugo_zukan/U01/Q08.png,/audio/eijukugo_zukan/U01/S08.mp3,melted away,melted away|melt away,The snowman [BLANK].
U01,9,The noise of the car died away.,その車の騒音は徐々に消えていった。,/ðə nɔɪz əv ðə kɑr daɪd əˈweɪ/,/images/eijukugo_zukan/U01/Q09.png,/audio/eijukugo_zukan/U01/S09.mp3,died away,died away|die away,The noise of the car [BLANK].
U01,10,This flower will soon fade away.,この花はすぐに枯れるだろう。,/ðɪs ˈflaʊər wɪl suːn feɪd əˈweɪ/,/images/eijukugo_zukan/U01/Q10.png,/audio/eijukugo_zukan/U01/S10.mp3,fade away,fade away,This flower will soon [BLANK].
U01,11,The water in the kettle is boiling away.,やかんのお湯が蒸発しかけている。,/ðə ˈwɔtər ɪn ðə ˈkɛtəl ɪz ˈbɔɪlɪŋ əˈweɪ/,/images/eijukugo_zukan/U01/Q11.png,/audio/eijukugo_zukan/U01/S11.mp3,boiling away,boiling away|boil away,The water in the kettle is [BLANK].
U01,12,He is working away in the fields.,彼は畑でせっせと働いている。,/hi ɪz ˈwɝkɪŋ əˈweɪ ɪn ðə fiːldz/,/images/eijukugo_zukan/U01/Q12.png,/audio/eijukugo_zukan/U01/S12.mp3,working away,working away|work away,He is [BLANK] in the fields.
