qno	image_file	source_folder	source_panel
Q01.png	/images/eijukugo_zukan/U06/Q01.png	01_a_2026-03-27_01-39-18	panel_01.png
Q02.png	/images/eijukugo_zukan/U06/Q02.png	01_a_2026-03-27_01-39-18	panel_02.png
Q03.png	/images/eijukugo_zukan/U06/Q03.png	01_a_2026-03-27_01-39-18	panel_03.png
Q04.png	/images/eijukugo_zukan/U06/Q04.png	01_a_2026-03-27_01-39-18	panel_04.png
Q05.png	/images/eijukugo_zukan/U06/Q05.png	02_b_2026-03-27_01-39-20	panel_01.png
Q06.png	/images/eijukugo_zukan/U06/Q06.png	02_b_2026-03-27_01-39-20	panel_02.png
Q07.png	/images/eijukugo_zukan/U06/Q07.png	02_b_2026-03-27_01-39-20	panel_03.png
Q08.png	/images/eijukugo_zukan/U06/Q08.png	02_b_2026-03-27_01-39-20	panel_04.png
Q09.png	/images/eijukugo_zukan/U06/Q09.png	02_b_2026-03-27_01-39-20	panel_05.png
Q10.png	/images/eijukugo_zukan/U06/Q10.png	02_b_2026-03-27_01-39-20	panel_06.png
Q11.png	/images/eijukugo_zukan/U06/Q11.png	02_b_2026-03-27_01-39-20	panel_07.png
Q12.png	/images/eijukugo_zukan/U06/Q12.png	02_b_2026-03-27_01-39-20	panel_08.png
Q13.png	/images/eijukugo_zukan/U06/Q13.png	03_b_2026-03-27_01-39-21	panel_01.png
Q14.png	/images/eijukugo_zukan/U06/Q14.png	03_b_2026-03-27_01-39-21	panel_02.png
Q15.png	/images/eijukugo_zukan/U06/Q15.png	03_b_2026-03-27_01-39-21	panel_03.png
Q16.png	/images/eijukugo_zukan/U06/Q16.png	03_b_2026-03-27_01-39-21	panel_04.png
Q17.png	/images/eijukugo_zukan/U06/Q17.png	03_b_2026-03-27_01-39-21	panel_05.png
Q18.png	/images/eijukugo_zukan/U06/Q18.png	03_b_2026-03-27_01-39-21	panel_06.png
Q19.png	/images/eijukugo_zukan/U06/Q19.png	03_b_2026-03-27_01-39-21	panel_07.png
Q20.png	/images/eijukugo_zukan/U06/Q20.png	03_b_2026-03-27_01-39-21	panel_08.png
