chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U14,1,Do you want some sugar with your coffee?,コーヒーに砂糖を入れますか。,/du ju wɔnt səm ˈʃʊgər wɪθ jʊr ˈkɔfi?/,/images/eijukugo_zukan/U14/Q01.png,/audio/eijukugo_zukan/U14/S01.mp3,with,with,Do you want some sugar [BLANK] your coffee?
U14,2,The robber threatened the clerk with a gun.,強盗は銃で店員を脅した。,/ðə ˈrɑbər θˈrɛtənd ðə klərk wɪθ ə gən./,/images/eijukugo_zukan/U14/Q02.png,/audio/eijukugo_zukan/U14/S02.mp3,with,with,The robber threatened the clerk [BLANK] a gun.
U14,3,I agree with you.,私はあなたに賛成です。,/aɪ əˈgri wɪθ ju./,/images/eijukugo_zukan/U14/Q03.png,/audio/eijukugo_zukan/U14/S03.mp3,with,with,I agree [BLANK] you.
U14,4,He's always quarreling with his wife.,彼はいつも妻と口論ばかりしている。,/hiz ˈɔlˌweɪz kˈwɑrəlɪŋ wɪθ hɪz waɪf./,/images/eijukugo_zukan/U14/Q04.png,/audio/eijukugo_zukan/U14/S04.mp3,with,with,He's always quarreling [BLANK] his wife.
U14,5,The glass is filled with wine.,グラスはワインで満たされている。,/ðə glæs ɪz fɪld wɪθ waɪn./,/images/eijukugo_zukan/U14/Q05.png,/audio/eijukugo_zukan/U14/S05.mp3,with,with,The glass is filled [BLANK] wine.
U14,6,The room is furnished with a bed and a sofa.,その部屋はベッドとソファが備え付けられている。,/ðə rum ɪz ˈfərnɪʃt wɪθ ə bɛd ənd ə ˈsoʊfə./,/images/eijukugo_zukan/U14/Q06.png,/audio/eijukugo_zukan/U14/S06.mp3,with,with,The room is furnished [BLANK] a bed and a sofa.
U14,7,The mountain is covered with snow.,山は雪で覆われている。,/ðə ˈmaʊntən ɪz ˈkəvərd wɪθ snoʊ./,/images/eijukugo_zukan/U14/Q07.png,/audio/eijukugo_zukan/U14/S07.mp3,with,with,The mountain is covered [BLANK] snow.
U14,8,He was presented with an award.,彼は賞を贈呈された。,/hi wɑz pərˈzɛnəd wɪθ ən əˈwɔrd./,/images/eijukugo_zukan/U14/Q08.png,/audio/eijukugo_zukan/U14/S08.mp3,with,with,He was presented [BLANK] an award.
U14,9,The bus is crowded with passengers.,バスは乗客で混み合っている。,/ðə bəs ɪz ˈkraʊdɪd wɪθ ˈpæsənʤərz./,/images/eijukugo_zukan/U14/Q09.png,/audio/eijukugo_zukan/U14/S09.mp3,with,with,The bus is crowded [BLANK] passengers.
U14,10,He's a difficult person to deal with.,彼は扱いにくい人だ。,/hiz ə ˈdɪfəkəlt ˈpərsən tɪ dil wɪθ./,/images/eijukugo_zukan/U14/Q10.png,/audio/eijukugo_zukan/U14/S10.mp3,with,with,He's a difficult person to deal [BLANK].
U14,11,They were equipped with weapons.,彼らは武器を装備していた。,/ðeɪ wər ɪkˈwɪpt wɪθ ˈwɛpənz./,/images/eijukugo_zukan/U14/Q11.png,/audio/eijukugo_zukan/U14/S11.mp3,with,with,They were equipped [BLANK] weapons.
U14,12,Cows provide us with milk.,牛は私たちに牛乳を供給する。,/kaʊz prəˈvaɪd ʌs wɪθ mɪlk./,/images/eijukugo_zukan/U14/Q12.png,/audio/eijukugo_zukan/U14/S12.mp3,with,with,Cows provide us [BLANK] milk.
U14,13,He planted the garden with tulips.,彼は庭にチューリップを植えた。,/hi ˈplænɪd ðə ˈgɑrdən wɪθ ˈtulɪps./,/images/eijukugo_zukan/U14/Q13.png,/audio/eijukugo_zukan/U14/S13.mp3,with,with,He planted the garden [BLANK] tulips.
U14,14,The company is faced with a difficult situation.,その会社は難しい状況に直面している。,/ðə ˈkəmpəˌni ɪz feɪst wɪθ ə ˈdɪfəkəlt ˌsɪʧuˈeɪʃən./,/images/eijukugo_zukan/U14/Q14.png,/audio/eijukugo_zukan/U14/S14.mp3,with,with,The company is faced [BLANK] a difficult situation.
U14,15,They replaced coal with oil.,彼らは石炭を石油に替えた。,/ðeɪ ˌriˈpleɪst koʊl wɪθ ɔɪl./,/images/eijukugo_zukan/U14/Q15.png,/audio/eijukugo_zukan/U14/S15.mp3,with,with,They replaced coal [BLANK] oil.
U14,16,I compared my answer with his.,私の答えを彼の答えと比べた。,/aɪ kəmˈpɛrd maɪ ˈænsər wɪθ hɪz./,/images/eijukugo_zukan/U14/Q16.png,/audio/eijukugo_zukan/U14/S16.mp3,with,with,I compared my answer [BLANK] his.
U14,17,Oil does not mix with water.,油は水と混ざらない。,/ɔɪl dɪz nɑt mɪks wɪθ ˈwɔtər./,/images/eijukugo_zukan/U14/Q17.png,/audio/eijukugo_zukan/U14/S17.mp3,with,with,Oil does not mix [BLANK] water.
U14,18,Japan competed for a gold medal with America.,日本は金メダルをかけてアメリカと競った。,/ʤəˈpæn kəmˈpitɪd fər ə goʊld ˈmɛdəl wɪθ əˈmɛrɪkə./,/images/eijukugo_zukan/U14/Q18.png,/audio/eijukugo_zukan/U14/S18.mp3,with,with,Japan competed for a gold medal [BLANK] America.
U14,19,I correspond with a friend in India.,私はインドの友達と文通している。,/aɪ ˌkɔrəˈspɑnd wɪθ ə frɛnd ɪn ˈɪndiə./,/images/eijukugo_zukan/U14/Q19.png,/audio/eijukugo_zukan/U14/S19.mp3,with,with,I correspond [BLANK] a friend in India.
U14,20,The police officer struggled with a robber.,警察官は強盗と格闘した。,/ðə pəˈlis ˈɔfɪsər ˈstrəgəld wɪθ ə ˈrɑbər./,/images/eijukugo_zukan/U14/Q20.png,/audio/eijukugo_zukan/U14/S20.mp3,with,with,The police officer struggled [BLANK] a robber.
