chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U13,1,This beer is free of charge.,このビールは無料です。,/ðɪs bɪr ɪz fri əv ʧɑrʤ./,/images/eijukugo_zukan/U13/Q01.png,/audio/eijukugo_zukan/U13/S01.mp3,of,of,This beer is free [BLANK] charge.
U13,2,They came to the same conclusion independent of each other.,彼らはお互いに影響を受けることなく同じ結論に達した。,/ðeɪ keɪm tɪ ðə seɪm kənˈkluʒən ˌɪndɪˈpɛndənt əv iʧ ˈəðər./,/images/eijukugo_zukan/U13/Q02.png,/audio/eijukugo_zukan/U13/S02.mp3,of,of,They came to the same conclusion independent [BLANK] each other.
U13,3,This desk is made of wood.,この机は木でできている。,/ðɪs dɛsk ɪz meɪd əv wʊd./,/images/eijukugo_zukan/U13/Q03.png,/audio/eijukugo_zukan/U13/S03.mp3,of,of,This desk is made [BLANK] wood.
U13,4,I always think of you.,私はいつもあなたのことを思っています。,/aɪ ˈɔlˌweɪz θɪŋk əv ju./,/images/eijukugo_zukan/U13/Q04.png,/audio/eijukugo_zukan/U13/S04.mp3,of,of,I always think [BLANK] you.
U13,5,The thief robbed me of my bag.,泥棒は私のバッグを奪った。,/ðə θif rɑbd mi əv maɪ bæg./,/images/eijukugo_zukan/U13/Q05.png,/audio/eijukugo_zukan/U13/S05.mp3,of,of,The thief robbed me [BLANK] my bag.
U13,6,America consists of 50 states.,アメリカは50州から成り立つ。,/əˈmɛrɪkə kənˈsɪsts əv 50 steɪts./,/images/eijukugo_zukan/U13/Q06.png,/audio/eijukugo_zukan/U13/S06.mp3,of,of,America consists [BLANK] 50 states.
U13,7,They cleared the roads of snow.,彼らは道路の除雪をした。,/ðeɪ klɪrd ðə roʊdz əv snoʊ./,/images/eijukugo_zukan/U13/Q07.png,/audio/eijukugo_zukan/U13/S07.mp3,of,of,They cleared the roads [BLANK] snow.
U13,8,"Speak of the devil, and he'll soon appear.",噂をすれば影が差す。,"/spik əv ðə ˈdɛvəl, ənd hil sun əˈpɪr./",/images/eijukugo_zukan/U13/Q08.png,/audio/eijukugo_zukan/U13/S08.mp3,of,of,"Speak [BLANK] the devil, and he'll soon appear."
U13,9,The doctor cured me of the disease.,医者は私の病気を治してくれた。,/ðə ˈdɔktər kjʊrd mi əv ðə dɪˈziz./,/images/eijukugo_zukan/U13/Q09.png,/audio/eijukugo_zukan/U13/S09.mp3,of,of,The doctor cured me [BLANK] the disease.
U13,10,I heard nothing of him after that.,その後、彼の噂を聞かなかった。,/aɪ hərd ˈnəθɪŋ əv ɪm ˈæftər ðət./,/images/eijukugo_zukan/U13/Q10.png,/audio/eijukugo_zukan/U13/S10.mp3,of,of,I heard nothing [BLANK] him after that.
U13,11,You should dispose of these books.,これらの本を処分したほうがいいですよ。,/ju ʃʊd dɪˈspoʊz əv ðiz bʊks./,/images/eijukugo_zukan/U13/Q11.png,/audio/eijukugo_zukan/U13/S11.mp3,of,of,You should dispose [BLANK] these books.
U13,12,He's always complaining of something.,彼はいつも何かに不平を言っている。,/hiz ˈɔlˌweɪz kəmˈpleɪnɪŋ əv ˈsəmθɪŋ./,/images/eijukugo_zukan/U13/Q12.png,/audio/eijukugo_zukan/U13/S12.mp3,of,of,He's always complaining [BLANK] something.
