chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U17,1,He paints pictures after Monet.,彼はモネ風の絵を描く。,/hi peɪnts ˈpɪkʧərz ˈæftər moʊˈneɪ./,/images/eijukugo_zukan/U17/Q01.png,/audio/eijukugo_zukan/U17/S01.mp3,after,after,He paints pictures [BLANK] Monet.
U17,2,They continued the work day after day.,彼らは来る日も来る日も仕事を続けた。,/ðeɪ kənˈtɪnjud ðə wərk deɪ ˈæftər deɪ./,/images/eijukugo_zukan/U17/Q02.png,/audio/eijukugo_zukan/U17/S02.mp3,after,after,They continued the work day [BLANK] day.
U17,3,Add milk along with butter to the soup.,バターと一緒にミルクをスープに加えます。,/æd mɪlk əˈlɔŋ wɪθ ˈbətər tɪ ðə sup./,/images/eijukugo_zukan/U17/Q03.png,/audio/eijukugo_zukan/U17/S03.mp3,along,along,Add milk [BLANK] with butter to the soup.
U17,4,His house is across the street from the library.,彼の家は図書館の向かいにある。,/hɪz haʊs ɪz əˈkrɔs ðə strit frəm ðə ˈlaɪbrɛˌri./,/images/eijukugo_zukan/U17/Q04.png,/audio/eijukugo_zukan/U17/S04.mp3,across,across,His house is [BLANK] the street from the library.
U17,5,The police officer chased after the pickpocket.,警察官はそのスリを追いかけた。,/ðə pəˈlis ˈɔfɪsər ʧeɪst ˈæftər ðə ˈpɪkˌpɑkət./,/images/eijukugo_zukan/U17/Q05.png,/audio/eijukugo_zukan/U17/S05.mp3,after,after,The police officer chased [BLANK] the pickpocket.
U17,6,You'll make it up as you go along.,やっていくうちに遅れを取り戻せるよ。,/jul meɪk ɪt əp ɛz ju goʊ əˈlɔŋ./,/images/eijukugo_zukan/U17/Q06.png,/audio/eijukugo_zukan/U17/S06.mp3,along,along,You'll make it up as you go [BLANK].
U17,7,He continued to seek after the truth.,彼は真実を追い求め続けた。,/hi kənˈtɪnjud tɪ sik ˈæftər ðə truθ./,/images/eijukugo_zukan/U17/Q07.png,/audio/eijukugo_zukan/U17/S07.mp3,after,after,He continued to seek [BLANK] the truth.
U17,8,I can't go along with your proposal.,あなたの提案には賛成できません。,/aɪ kænt goʊ əˈlɔŋ wɪθ jʊr prəˈpoʊzəl./,/images/eijukugo_zukan/U17/Q08.png,/audio/eijukugo_zukan/U17/S08.mp3,along,along,I can't go [BLANK] with your proposal.
U17,9,My father named me after a famous actor.,父は有名な俳優にちなんで私に名前をつけた。,/maɪ ˈfɑðər neɪmd mi ˈæftər ə ˈfeɪməs ˈæktər./,/images/eijukugo_zukan/U17/Q09.png,/audio/eijukugo_zukan/U17/S09.mp3,after,after,My father named me [BLANK] a famous actor.
U17,10,"I'll come along, too.",私も一緒に行きます。,"/aɪl kəm əˈlɔŋ, tu./",/images/eijukugo_zukan/U17/Q10.png,/audio/eijukugo_zukan/U17/S10.mp3,along,along,"I'll come [BLANK], too."
U17,11,Go along this street.,この道を進んでください。,/goʊ əˈlɔŋ ðɪs strit./,/images/eijukugo_zukan/U17/Q11.png,/audio/eijukugo_zukan/U17/S11.mp3,along,along,Go [BLANK] this street.
U17,12,I ran across him at the airport.,空港で偶然彼に会った。,/aɪ ræn əˈkrɔs ɪm æt ðə ˈɛrˌpɔrt./,/images/eijukugo_zukan/U17/Q12.png,/audio/eijukugo_zukan/U17/S12.mp3,across,across,I ran [BLANK] him at the airport.
