chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U03,1,The rocket flew up into the sky.,ロケットは上空に打ち上げられた。,/ðə ˈrɑkət fluː ʌp ˈɪntu ðə skaɪ/,/images/eijukugo_zukan/U03/Q01.png,/audio/eijukugo_zukan/U03/S01.mp3,up,up,The rocket flew [BLANK] into the sky.
U03,2,The boy grew up to be a doctor.,少年は成長して医者になった。,/ðə bɔɪ ɡruː ʌp tə bi ə ˈdɑktər/,/images/eijukugo_zukan/U03/Q02.png,/audio/eijukugo_zukan/U03/S02.mp3,up,up,The boy grew [BLANK] to be a doctor.
U03,3,The car is speeding up.,その車はどんどん加速している。,/ðə kɑr ɪz ˈspiːdɪŋ ʌp/,/images/eijukugo_zukan/U03/Q03.png,/audio/eijukugo_zukan/U03/S03.mp3,speeding up,speeding up|speed up,The car is [BLANK].
U03,4,Time's up.,時間終了です。,/taɪmz ʌp/,/images/eijukugo_zukan/U03/Q04.png,/audio/eijukugo_zukan/U03/S04.mp3,up,up,Time's [BLANK].
U03,5,Can you dig up this plant?,この植物を掘り起こせますか。,/kæn ju dɪɡ ʌp ðɪs plænt/,/images/eijukugo_zukan/U03/Q06.png,/audio/eijukugo_zukan/U03/S05.mp3,dig up,dig up,Can you [BLANK] this plant?
U03,6,Gather up your toys.,自分のおもちゃを拾い集めなさい。,/ˈɡæðər ʌp jʊr tɔɪz/,/images/eijukugo_zukan/U03/Q05.png,/audio/eijukugo_zukan/U03/S06.mp3,gather up,gather up,[BLANK] your toys.
U03,7,He didn't show up at the party.,彼はパーティー会場に現れなかった。,/hi ˈdɪdənt ʃoʊ ʌp æt ðə ˈpɑrti/,/images/eijukugo_zukan/U03/Q07.png,/audio/eijukugo_zukan/U03/S07.mp3,show up,show up,He didn't [BLANK] at the party.
U03,8,Can you count up to 20 in English?,英語で20まで数えられますか。,/kæn ju kaʊnt ʌp tə ˈtwɛnti ɪn ˈɪŋɡlɪʃ/,/images/eijukugo_zukan/U03/Q08.png,/audio/eijukugo_zukan/U03/S08.mp3,count up,count up,Can you [BLANK] to 20 in English?
U03,9,Wake me up at six tomorrow morning.,明日の朝は6時に起こしてください。,/weɪk mi ʌp æt sɪks təˈmɔroʊ ˈmɔrnɪŋ/,/images/eijukugo_zukan/U03/Q09.png,/audio/eijukugo_zukan/U03/S09.mp3,wake up,wake up,[BLANK] me up at six tomorrow morning.
U03,10,Speak up! I can't hear you.,大きな声で話してください！聞こえません。,/spiːk ʌp aɪ kænt hɪr juː/,/images/eijukugo_zukan/U03/Q10.png,/audio/eijukugo_zukan/U03/S10.mp3,speak up,speak up,[BLANK]! I can't hear you.
