chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U16,1,The car crashed into the wall.,車は壁に衝突した。,/ðə kɑr kræʃt ˈɪntu ðə wɔl./,/images/eijukugo_zukan/U16/Q01.png,/audio/eijukugo_zukan/U16/S01.mp3,into,into,The car crashed [BLANK] the wall.
U16,2,I'm into jazz.,ジャズにはまっています。,/əm ˈɪntu ʤæz./,/images/eijukugo_zukan/U16/Q02.png,/audio/eijukugo_zukan/U16/S02.mp3,into,into,I'm [BLANK] jazz.
U16,3,I don't have time to go into detail.,詳しく説明している時間はない。,/aɪ doʊnt hæv taɪm tɪ goʊ ˈɪntu ˈditeɪl./,/images/eijukugo_zukan/U16/Q03.png,/audio/eijukugo_zukan/U16/S03.mp3,into,into,I don't have time to go [BLANK] detail.
U16,4,The plate broke into pieces.,皿は粉々に割れた。,/ðə pleɪt broʊk ˈɪntu ˈpisɪz./,/images/eijukugo_zukan/U16/Q04.png,/audio/eijukugo_zukan/U16/S04.mp3,into,into,The plate broke [BLANK] pieces.
U16,5,I bumped into my ex-girlfriend yesterday.,昨日、元カノに偶然会った。,/aɪ bəmpt ˈɪntu maɪ ˈɛkzˈgərlˌfrɛnd ˈjɛstərˌdeɪ./,/images/eijukugo_zukan/U16/Q05.png,/audio/eijukugo_zukan/U16/S05.mp3,into,into,I bumped [BLANK] my ex-girlfriend yesterday.
U16,6,Can you translate this sentence into Chinese?,この文を中国語に翻訳できますか。,/kən ju trænzˈleɪt ðɪs ˈsɛntəns ˈɪntu ʧaɪˈniz?/,/images/eijukugo_zukan/U16/Q06.png,/audio/eijukugo_zukan/U16/S06.mp3,into,into,Can you translate this sentence [BLANK] Chinese?
U16,7,I'll change into a suit.,スーツに着替えます。,/aɪl ʧeɪnʤ ˈɪntu ə sut./,/images/eijukugo_zukan/U16/Q07.png,/audio/eijukugo_zukan/U16/S07.mp3,into,into,I'll change [BLANK] a suit.
U16,8,The class burst into laughter at the teacher's joke.,クラスのみんなが先生の冗談に突然笑い出した。,/ðə klæs bərst ˈɪntu ˈlæftər æt ðə ˈtiʧərz ʤoʊk./,/images/eijukugo_zukan/U16/Q08.png,/audio/eijukugo_zukan/U16/S08.mp3,into,into,The class burst [BLANK] laughter at the teacher's joke.
U16,9,The ice melted into water.,氷は溶けて水になった。,/ðə aɪs ˈmɛltɪd ˈɪntu ˈwɔtər./,/images/eijukugo_zukan/U16/Q09.png,/audio/eijukugo_zukan/U16/S09.mp3,into,into,The ice melted [BLANK] water.
U16,10,His business grew into a big company.,彼の会社は大企業に成長した。,/hɪz ˈbɪznɪs gru ˈɪntu ə bɪg ˈkəmpəˌni./,/images/eijukugo_zukan/U16/Q10.png,/audio/eijukugo_zukan/U16/S10.mp3,into,into,His business grew [BLANK] a big company.
U16,11,Mother divided the cake into five.,母はケーキを5個に分けた。,/ˈməðər dɪˈvaɪdɪd ðə keɪk ˈɪntu faɪv./,/images/eijukugo_zukan/U16/Q11.png,/audio/eijukugo_zukan/U16/S11.mp3,into,into,Mother divided the cake [BLANK] five.
U16,12,I talked him into giving up smoking.,彼を説得して禁煙させた。,/aɪ tɔkt ɪm ˈɪntu ˈgɪvɪŋ əp sˈmoʊkɪŋ./,/images/eijukugo_zukan/U16/Q12.png,/audio/eijukugo_zukan/U16/S12.mp3,into,into,I talked him [BLANK] giving up smoking.
