chunk_index	start	end	duration	type	clip	text
1	0.487	1.011	0.524	skip		9.
2	2.250	2.717	0.467	skip		on.
3	3.960	6.254	2.294	sentence	S01.mp3	I want to stand on my own feet.
4	7.458	9.718	2.260	sentence	S02.mp3	Success depends on your effort.
5	10.916	12.631	1.714	sentence	S03.mp3	concentrate on your work.
6	13.850	15.790	1.940	sentence	S04.mp3	It is raining on and on.
7	16.983	17.668	0.685	skip		Go on.
8	18.925	20.609	1.684	sentence	S05.mp3	I called on him yesterday.
9	21.816	22.343	0.527	skip		Try.
10	22.789	23.145	0.356	skip		on.
11	24.450	25.903	1.453	sentence	S06.mp3	Can I try it on?
12	27.120	28.004	0.884	skip		Reliant.
13	29.221	30.692	1.471	sentence	S07.mp3	You can rely on me.
14	31.931	32.590	0.660	skip		bead on screen
15	33.817	35.723	1.907	sentence	S08.mp3	cows feed on grass.
16	36.920	37.642	0.722	skip		Live on.
17	38.851	40.882	2.032	sentence	S09.mp3	He lives on a small income.
18	42.124	43.245	1.122	skip		Be based on
19	44.488	46.618	2.130	sentence	S10.mp3	It is based on a true story.
20	47.885	48.780	0.895	skip		Hang on to.
21	50.042	51.358	1.315	sentence	S11.mp3	Hang on to the rope.
22	52.552	53.932	1.380	sentence	S12.mp3	Rain off and on.
23	55.152	56.787	1.635	sentence	S13.mp3	It's raining off and on.
