chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U20,1,He looked back at me.,彼は振り返って私を見た。,/hi lʊkt bæk æt mi./,/images/eijukugo_zukan/U20/Q01.png,/audio/eijukugo_zukan/U20/S01.mp3,back,back,He looked [BLANK] at me.
U20,2,Don't look back. Just keep moving forward.,過去は振り向くな、前進あるのみ。,/doʊnt lʊk bæk. ʤɪst kip ˈmuvɪŋ ˈfɔrwərd./,/images/eijukugo_zukan/U20/Q02.png,/audio/eijukugo_zukan/U20/S02.mp3,back,back,Don't look [BLANK]. Just keep moving forward.
U20,3,I look forward to the next game.,次の試合を楽しみにしている。,/aɪ lʊk ˈfɔrwərd tɪ ðə nɛkst geɪm./,/images/eijukugo_zukan/U20/Q03.png,/audio/eijukugo_zukan/U20/S03.mp3,forward,forward,I look [BLANK] to the next game.
U20,4,The Giants are ahead in the third inning.,ジャイアンツは3回でリードしている。,/ðə ʤaɪənts ər əˈhɛd ɪn ðə θərd ˈɪnɪŋ./,/images/eijukugo_zukan/U20/Q04.png,/audio/eijukugo_zukan/U20/S04.mp3,ahead,ahead,The Giants are [BLANK] in the third inning.
U20,5,I'll call you back later.,あとでかけ直します。,/aɪl kɔl ju bæk ˈleɪtər./,/images/eijukugo_zukan/U20/Q05.png,/audio/eijukugo_zukan/U20/S05.mp3,back,back,I'll call you [BLANK] later.
U20,6,I put my watch forward 5 seconds.,時計を5秒早めた。,/aɪ pʊt maɪ wɔʧ ˈfɔrwərd faɪv ˈsɛkəndz./,/images/eijukugo_zukan/U20/Q06.png,/audio/eijukugo_zukan/U20/S06.mp3,forward,forward,I put my watch [BLANK] 5 seconds.
U20,7,Please step back.,後ろへ下がってください。,/pliz stɛp bæk./,/images/eijukugo_zukan/U20/Q07.png,/audio/eijukugo_zukan/U20/S07.mp3,back,back,Please step [BLANK].
U20,8,Go ahead.,どうぞ先に。,/goʊ əˈhɛd./,/images/eijukugo_zukan/U20/Q08.png,/audio/eijukugo_zukan/U20/S08.mp3,ahead,ahead,Go [BLANK].
U20,9,He stepped forward to receive the prize.,彼は賞を受けるために前に出た。,/hi stɛpt ˈfɔrwərd tɪ rɪˈsiv ðə praɪz./,/images/eijukugo_zukan/U20/Q09.png,/audio/eijukugo_zukan/U20/S09.mp3,forward,forward,He stepped [BLANK] to receive the prize.
U20,10,"Can I use the restroom? Yes, go ahead.",「トイレを借りてもいいですか」「ええ、どうぞ」,"/kən aɪ juz ðə ˈrɛˌstrum? jɛs, goʊ əˈhɛd./",/images/eijukugo_zukan/U20/Q10.png,/audio/eijukugo_zukan/U20/S10.mp3,ahead,ahead,"Can I use the restroom? Yes, go [BLANK]."
U20,11,Don't put yourself forward.,でしゃばるな。,/doʊnt pʊt ˈjɔrsɛlf ˈfɔrwərd./,/images/eijukugo_zukan/U20/Q11.png,/audio/eijukugo_zukan/U20/S11.mp3,forward,forward,Don't put yourself [BLANK].
U20,12,The festival will go ahead as planned.,お祭りは予定通り行われる。,/ðə ˈfɛstɪvəl wɪl goʊ əˈhɛd ɛz plænd./,/images/eijukugo_zukan/U20/Q12.png,/audio/eijukugo_zukan/U20/S12.mp3,ahead,ahead,The festival will go [BLANK] as planned.
