chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U12,1,He took the knife from the robber.,彼は強盗からナイフを取った。,/hi tʊk ðə naɪf frəm ðə ˈrɑbər./,/images/eijukugo_zukan/U12/Q01.png,/audio/eijukugo_zukan/U12/S01.mp3,from,from,He took the knife [BLANK] the robber.
U12,2,She makes jam from apricots.,彼女はアンズでジャムを作る。,/ʃi meɪks ʤæm frəm ˈæprəˌkɑts./,/images/eijukugo_zukan/U12/Q02.png,/audio/eijukugo_zukan/U12/S02.mp3,from,from,She makes jam [BLANK] apricots.
U12,3,The cat shivers from cold.,ネコは寒さで震えている。,/ðə kæt ˈʃɪvərz frəm koʊld./,/images/eijukugo_zukan/U12/Q03.png,/audio/eijukugo_zukan/U12/S03.mp3,from,from,The cat shivers [BLANK] cold.
U12,4,The accident kept me from coming in time.,その事故で私は間に合わなかった。,/ðə ˈæksədənt kɛpt mi frəm ˈkəmɪŋ ɪn taɪm./,/images/eijukugo_zukan/U12/Q04.png,/audio/eijukugo_zukan/U12/S04.mp3,from,from,The accident kept me [BLANK] coming in time.
U12,5,The twins are so alike I can't tell one from the other.,その双子はそっくりで区別がつかない。,/ðə twɪnz ər soʊ əˈlaɪk aɪ kænt tɛl wən frəm ðə ˈəðər./,/images/eijukugo_zukan/U12/Q05.png,/audio/eijukugo_zukan/U12/S05.mp3,from,from,The twins are so alike I can't tell one [BLANK] the other.
U12,6,The accident resulted from the driver's carelessness.,その事故はドライバーの不注意の結果起こった。,/ðə ˈæksədənt rɪˈzəltɪd frəm ðə ˈdraɪvərz ˈkɛrlɛsnəs./,/images/eijukugo_zukan/U12/Q06.png,/audio/eijukugo_zukan/U12/S06.mp3,from,from,The accident resulted [BLANK] the driver's carelessness.
U12,7,My car differs from yours in color.,私の車はあなたの車とは色が違う。,/maɪ kɑr ˈdɪfərz frəm jʊrz ɪn ˈkələr./,/images/eijukugo_zukan/U12/Q07.png,/audio/eijukugo_zukan/U12/S07.mp3,from,from,My car differs [BLANK] yours in color.
U12,8,Please refrain from smoking.,たばこはご遠慮ください。,/pliz rɪˈfreɪn frəm sˈmoʊkɪŋ./,/images/eijukugo_zukan/U12/Q08.png,/audio/eijukugo_zukan/U12/S08.mp3,from,from,Please refrain [BLANK] smoking.
U12,9,Many children die from starvation.,多くの子どもたちは飢えによって亡くなる。,/ˈmɛni ˈʧɪldrən daɪ frəm stɑrˈveɪʃən./,/images/eijukugo_zukan/U12/Q09.png,/audio/eijukugo_zukan/U12/S09.mp3,from,from,Many children die [BLANK] starvation.
U12,10,The typhoon prevented the train from arriving on time.,台風のために列車は時間通り到着できなかった。,/ðə ˌtaɪˈfun prɪˈvɛnɪd ðə treɪn frəm ərˈaɪvɪŋ ɔn taɪm./,/images/eijukugo_zukan/U12/Q10.png,/audio/eijukugo_zukan/U12/S10.mp3,from,from,The typhoon prevented the train [BLANK] arriving on time.
U12,11,He's suffering from depression.,彼はうつ病に苦しんでいる。,/hiz ˈsəfərɪŋ frəm dɪˈprɛʃən./,/images/eijukugo_zukan/U12/Q11.png,/audio/eijukugo_zukan/U12/S11.mp3,from,from,He's suffering [BLANK] depression.
U12,12,The law prohibits minors from drinking.,法律で未成年の飲酒を禁止している。,/ðə lɔ proʊˈhɪbəts ˈmaɪnərz frəm ˈdrɪŋkɪŋ./,/images/eijukugo_zukan/U12/Q12.png,/audio/eijukugo_zukan/U12/S12.mp3,from,from,The law prohibits minors [BLANK] drinking.
