chapter,qno,english,japanese,ipa_us,question_image,audio_file,phrasal,accepted,cloze
U02,1,The station is two kilometers off.,駅は2キロ先にある。,/ðə ˈsteɪʃən ɪz tuː kɪˈlɑːmɪtərz ɔːf/,/images/eijukugo_zukan/U02/Q01.png,/audio/eijukugo_zukan/U02/S01.mp3,off,off,The station is two kilometers [BLANK].
U02,2,He finished off the work.,彼は一気にその仕事を終わらせた。,/hi ˈfɪnɪʃt ɔːf ðə wɝːk/,/images/eijukugo_zukan/U02/Q02.png,/audio/eijukugo_zukan/U02/S02.mp3,finished off,finished off|finish off,He [BLANK] the work.
U02,3,What time does the game kick off?,その試合は何時に始まりますか。,/wʌt taɪm dʌz ðə ɡeɪm kɪk ɔːf/,/images/eijukugo_zukan/U02/Q03.png,/audio/eijukugo_zukan/U02/S03.mp3,kick off,kick off,What time does the game [BLANK]?
U02,4,He switched off the TV.,彼はテレビを消した。,/hi swɪtʃt ɔːf ðə ˌtiːˈviː/,/images/eijukugo_zukan/U02/Q04.png,/audio/eijukugo_zukan/U02/S04.mp3,switched off,switched off|switch off,He [BLANK] the TV.
U02,5,The jockey fell off the horse.,騎手は馬から落ちた。,/ðə ˈdʒɑːki fɛl ɔːf ðə hɔːrs/,/images/eijukugo_zukan/U02/Q05.png,/audio/eijukugo_zukan/U02/S05.mp3,fell off,fell off|fall off,The jockey [BLANK] the horse.
U02,6,He's always showing off his watch.,彼はいつも時計を見せびらかしている。,/hiz ˈɔːlweɪz ˈʃoʊɪŋ ɔːf hɪz wɑːtʃ/,/images/eijukugo_zukan/U02/Q2-7.png,/audio/eijukugo_zukan/U02/S06.mp3,showing off,showing off|show off,He's always [BLANK] his watch.
U02,7,The concert was called off.,そのコンサートは中止された。,/ðə ˈkɑːnsɚt wəz kɔːld ɔːf/,/images/eijukugo_zukan/U02/Q2-9.png,/audio/eijukugo_zukan/U02/S07.mp3,called off,called off|call off,The concert was [BLANK].
U02,8,The president laid off 50 employees.,社長は50人を解雇した。,/ðə ˈprɛzɪdənt leɪd ɔːf ˈfɪfti ɛmˈplɔɪiːz/,/images/eijukugo_zukan/U02/Q2-11.png,/audio/eijukugo_zukan/U02/S08.mp3,laid off,laid off|lay off,The president [BLANK] 50 employees.
U02,9,She cleared off the table.,彼女はテーブルをきれいに片付けた。,/ʃi klɪrd ɔːf ðə ˈteɪbəl/,/images/eijukugo_zukan/U02/Q2-6.png,/audio/eijukugo_zukan/U02/S09.mp3,cleared off,cleared off|clear off,She [BLANK] the table.
U02,10,I have to pay off all my debts in a year.,私は1年で借金を完済しなければならない。,/aɪ hæv tə peɪ ɔːf ɔːl maɪ dɛts ɪn ə jɪr/,/images/eijukugo_zukan/U02/Q2-8.png,/audio/eijukugo_zukan/U02/S10.mp3,pay off,pay off,I have to [BLANK] all my debts in a year.
U02,11,Let's start off with a beer.,まずはビールから始めよう。,/lɛts stɑːrt ɔːf wɪð ə bɪr/,/images/eijukugo_zukan/U02/Q2-10.png,/audio/eijukugo_zukan/U02/S11.mp3,start off,start off,Let's [BLANK] with a beer.
U02,12,The train moved off with a jerk.,列車はガタンと動き出した。,/ðə treɪn muːvd ɔːf wɪð ə dʒɝːk/,/images/eijukugo_zukan/U02/Q12.png,/audio/eijukugo_zukan/U02/S12.mp3,moved off,moved off|move off,The train [BLANK] with a jerk.
